Sample,Treatment,Population,Ecotype,Location,Pop_treat,Individual
BD03_C_17,C1,BD,Coast,Eng,BD_C1,1
BD03_S_18,S,BD,Coast,Eng,BD_S,1
BD05_C_9,C1,BD,Coast,Eng,BD_C1,2
BD05_S_10,S,BD,Coast,Eng,BD_S,2
BD07_C_19,C1,BD,Coast,Eng,BD_C1,3
BD07_S_20,S,BD,Coast,Eng,BD_S,3
GR-RNA-10_C_13,C1,GR,Mine,Wal,GR_C1,1
GR-RNA-10_S_14,S,GR,Mine,Wal,GR_S,1
GR-RNA-12_C_23,C1,GR,Mine,Wal,GR_C1,2
GR-RNA-12_S_24,S,GR,Mine,Wal,GR_S,2
GR-RNA-6_C_5,C1,GR,Mine,Wal,GR_C1,3
GR-RNA-6_S_6,S,GR,Mine,Wal,GR_S,3
PP-RNA-1_C_1,C1,PP,Mine,Eng,PP_C1,1
PP-RNA-1_S_2,S,PP,Mine,Eng,PP_S,1
PP12_C_21,C1,PP,Mine,Eng,PP_C1,2
PP12_S_22,S,PP,Mine,Eng,PP_S,2
PP1_C_3,C1,PP,Mine,Eng,PP_C1,3
PP1_S_4,S,PP,Mine,Eng,PP_S,3
SA02_C_7,C1,SA,Coast,Wal,SA_C1,1
SA02_S_8,S,SA,Coast,Wal,SA_S,1
SA04_C_15,C1,SA,Coast,Wal,SA_C1,2
SA04_S_16,S,SA,Coast,Wal,SA_S,2
SA07_C_11,C1,SA,Coast,Wal,SA_C1,3
SA07_S_12,S,SA,Coast,Wal,SA_S,3
BD11Z,Z,BD,Coast,Eng,BD_Z,5
BD12C,C2,BD,Coast,Eng,BD_C2,6
BD1Z,Z,BD,Coast,Eng,BD_Z,4
GR10C,C2,GR,Mine,Wal,GR_C2,6
GR10Z,Z,GR,Mine,Wal,GR_Z,6
GR2C,C2,GR,Mine,Wal,GR_C2,4
GR8C,C2,GR,Mine,Wal,GR_C2,5
GR8Z,Z,GR,Mine,Wal,GR_Z,5
PP1C,C2,PP,Mine,Eng,PP_C2,4
BD1C,C2,BD,Coast,Eng,BD_C2,4
PP1Z,Z,PP,Mine,Eng,PP_Z,4
PP4C,C2,PP,Mine,Eng,PP_C2,5
PP4Z,Z,PP,Mine,Eng,PP_Z,5
PP8C,C2,PP,Mine,Eng,PP_C2,6
SA6Z,Z,SA,Coast,Wal,SA_Z,4
SA7C,C2,SA,Coast,Wal,SA_C2,5
SA7Z,Z,SA,Coast,Wal,SA_Z,5
SA8C,C2,SA,Coast,Wal,SA_C2,6
SA8Z,Z,SA,Coast,Wal,SA_Z,6
BD11C,C2,BD,Coast,Eng,BD_C2,5
BD12Z,Z,BD,Coast,Eng,BD_Z,6
GR2Z,Z,GR,Mine,Wal,GR_Z,5
PP8Z,Z,PP,Mine,Eng,PP_Z,6
SA6C,C2,SA,Coast,Wal,SA_C2,4
