gene_id,BD03_C_17,BD03_S_18,BD05_C_9,BD05_S_10,BD07_C_19,BD07_S_20,GR-RNA-10_C_13,GR-RNA-10_S_14,GR-RNA-12_C_23,GR-RNA-12_S_24,GR-RNA-6_C_5,GR-RNA-6_S_6,PP-RNA-1_C_1,PP-RNA-1_S_2,PP12_C_21,PP12_S_22,PP1_C_3,PP1_S_4,SA02_C_7,SA02_S_8,SA04_C_15,SA04_S_16,SA07_C_11,SA07_S_12
evm.TU.s_3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.s_3.21,4,0,0,1,2,0,6,4,0,0,4,6,4,3,3,0,1,6,7,2,3,1,3,4
evm.TU.s_3.10,18,30,86,85,40,70,25,25,17,17,26,17,21,46,45,20,23,29,52,55,10,8,69,67
evm.TU.s_4.10,3,0,0,3,0,0,0,0,0,0,0,0,0,3,6,2,0,2,0,0,0,0,0,3
evm.TU.s_3.25,1434,1357,1220,1455,1725,1739,1265,794,1219,1172,1201,923,965,998,1273,1005,1385,1295,1641,1235,1336,1335,1030,865
evm.TU.s_4.42,161,128,99,137,199,241,139,110,132,173,146,98,96,121,52,62,82,99,132,97,173,100,124,113
evm.TU.s_6.8,2,0,2,3,2,0,19,12,2,5,0,0,12,10,21,16,18,17,26,13,0,0,5,13
evm.TU.s_5.9,1325,1501,1308,1654,1606,1964,1705,1306,1856,2095,1883,1905,1376,1814,1789,1861,2057,2004,2062,1643,1436,1448,1125,1303
evm.TU.s_8.6,1,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
evm.TU.s_8.7,0,0,520,520,9,6,92,115,109,134,0,0,1052,1030,1200,1096,1329,1399,1106,1003,0,0,1060,989
evm.TU.s_9.1,359,317,431,385,435,431,782,405,393,382,329,319,365,421,177,147,384,372,608,506,487,383,590,461
evm.TU.s_9.2,259,252,328,305,275,334,342,263,313,228,239,226,196,169,313,314,419,437,265,242,208,163,254,285
evm.TU.s_9.4,295,217,226,265,440,381,306,198,446,711,431,420,185,338,462,402,478,507,367,521,346,491,425,364
evm.TU.s_9.7,1957,1396,1734,1327,1982,1573,1148,725,1264,1289,1356,1115,1283,1239,1652,1228,1752,1726,1473,1222,1510,1201,1411,1177
evm.TU.s_7.5,5,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0
evm.TU.s_7.6,158,130,131,187,2176,567,61,38,395,162,148,19,60,58,130,25,346,71,458,373,2012,712,156,66
novel_gene_139_611601de,2842,1231,1334,1141,1472,381,580,306,579,294,1172,322,355,177,522,40,192,355,1701,1498,249,40,452,253
evm.TU.s_7.7,41,61,50,118,71,147,802,981,1266,1513,1324,1276,211,193,287,339,96,188,81,239,1582,1902,477,675
evm.TU.s_4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.s_4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.s_4.17,8,0,9,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.s_4.18,37117,9379,24516,7237,37554,9126,2195,384,3084,878,2767,1090,5790,2215,6250,1794,2081,1082,5574,1324,18502,3390,10431,1483
evm.TU.s_9.10,1631,1481,1475,1232,1622,2000,1026,806,1708,1800,1477,1419,857,1269,1415,1155,1569,1479,1525,1004,1382,1383,1142,984
evm.TU.s_12.14,1,3,13,19,17,12,17,2,21,15,25,13,23,19,28,36,26,41,12,4,8,12,11,4
evm.TU.s_14.27,669,628,637,514,784,847,467,443,501,587,505,401,531,352,622,436,597,522,647,462,711,659,567,521
evm.TU.s_11.19_evm.TU.s_11.9,0,2,3,2,0,0,24,15,6,21,18,13,6,4,41,36,10,13,4,11,31,34,0,0
evm.TU.s_11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.s_11.18,11,0,6,5,81,97,5,4,0,0,0,2,0,2,11,3,9,11,15,2,0,5,0,0
evm.TU.s_19.32,52,90,28,48,124,141,32,53,144,170,82,159,112,209,75,73,57,215,139,244,90,309,64,66
evm.TU.s_19.31,452,383,342,402,401,423,390,287,532,338,471,453,530,730,482,320,361,364,469,391,477,474,402,335
evm.TU.s_20.3,99,198,25,90,8026,6471,197,192,241,759,204,476,499,2586,163,638,15403,27229,210,2544,4948,2933,3945,3248
evm.TU.s_23.17,495,460,501,516,613,598,403,432,415,507,533,579,332,427,530,470,512,594,574,398,473,494,466,295
evm.TU.s_26.1,485,503,770,833,390,304,107,67,61,124,1093,978,65,101,1035,1029,252,312,67,56,125,94,370,571
evm.TU.s_14.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.s_14.29,22275,14340,11202,6244,27611,13744,6034,4455,7802,5908,7523,5582,4017,3605,6758,3645,5569,6290,16000,7784,23242,19986,15206,9133
evm.TU.s_14.30,2089,1652,1391,1292,1809,2012,963,901,1351,1310,1161,1031,1150,1036,1404,918,1535,1505,1860,1316,1638,1269,1551,1245
evm.TU.s_27.1,108,64,52,70,128,120,68,41,204,135,149,129,90,115,113,76,109,115,83,68,90,57,47,21
evm.TU.s_27.2,7257,6771,7155,6610,7742,7118,4198,3821,5517,5939,5271,5453,4801,4976,5100,3848,5916,6732,6584,5203,6569,7401,5611,4849
evm.TU.s_27.10,1164,853,792,600,1149,858,691,557,1259,1148,1044,909,662,671,1011,754,1037,818,1119,787,1175,784,680,523
evm.TU.s_29.11,0,0,25,6,0,0,9,7,12,12,11,0,11,6,14,0,12,0,0,0,3,4,5,10
evm.TU.s_29.2,512,402,499,614,567,649,416,367,542,455,421,435,443,452,523,431,474,485,539,397,455,473,428,338
evm.TU.s_29.12,612,487,540,686,666,748,507,415,650,555,501,510,532,532,623,516,540,571,636,492,563,592,497,448
evm.TU.s_36.6,100,95,67,93,143,191,70,65,79,91,50,59,141,109,112,103,163,118,108,86,88,100,68,60
evm.TU.s_36.7,37,46,30,30,63,53,118,96,101,109,69,85,21,29,85,87,122,149,63,91,108,88,47,55
evm.TU.s_36.9,129,188,152,129,248,184,3,7,45,42,162,104,333,259,375,244,279,342,223,192,38,56,125,98
evm.TU.s_36.12,2,0,0,0,22,53,7,6,21,8,12,16,14,11,9,11,12,8,11,12,4,19,13,5
evm.TU.s_36.11,137,119,145,87,126,208,146,76,87,95,144,78,155,119,174,129,173,142,247,138,172,135,132,134
evm.TU.s_36.10,459,524,596,692,620,800,434,364,714,616,532,509,742,776,851,764,856,764,636,492,616,688,436,568
evm.TU.s_32.4,260,238,199,381,275,270,351,224,218,301,281,283,314,352,329,237,547,375,369,414,318,297,293,252
evm.TU.s_32.5,3229,1785,3062,1304,3756,2102,1080,564,2192,1106,1782,1255,1647,1385,1754,754,1433,1431,2176,937,3043,1863,2308,789
evm.TU.s_36.13,213,184,331,308,274,395,193,164,155,129,151,106,190,148,222,182,240,194,123,154,386,239,234,385
evm.TU.s_36.51,435,602,682,1029,634,744,685,799,823,1258,1005,1142,402,875,837,1110,908,1300,441,896,527,1037,837,946
evm.TU.s_36.56,17,35,35,41,33,49,49,21,23,16,16,33,66,54,50,68,54,90,33,39,19,22,40,40
evm.TU.s_36.57,8,11,7,6,0,12,27,56,86,109,63,32,29,17,55,26,24,26,53,66,23,48,49,21
evm.TU.s_36.55,58,58,73,137,73,125,69,85,71,93,93,105,98,169,157,154,98,79,39,86,63,104,58,103
evm.TU.s_36.61,0,0,0,4,7,88,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0
evm.TU.s_36.58,109,295,347,207,194,244,19,21,179,130,211,229,138,184,345,149,204,143,378,82,610,1020,310,92
evm.TU.s_36.16,0,0,0,0,5,0,5,5,0,5,0,0,3,6,2,9,2,5,0,0,0,0,5,0
evm.TU.s_36.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
evm.TU.s_36.17,50,47,93,125,216,215,113,111,151,208,118,121,190,181,191,207,33,44,102,111,283,297,119,87
evm.TU.s_36.18,617,436,478,429,456,419,345,255,346,329,215,178,355,228,327,260,320,355,320,247,346,264,394,248
evm.TU.s_36.19,102,104,98,83,95,116,99,72,94,87,112,95,197,197,134,124,86,130,94,84,89,90,102,101
evm.TU.s_36.24,29,27,11,2,17,18,1,9,5,5,3,10,10,5,8,8,4,6,3,8,13,18,23,6
evm.TU.s_36.25,600,541,303,339,588,408,343,333,458,486,466,476,291,271,224,166,179,223,560,510,538,718,466,445
evm.TU.s_36.27,2149,1907,2407,2463,2603,2581,2164,1528,2357,1977,1825,1725,2298,2243,2359,1892,2099,2134,1950,1383,2027,1784,1958,1725
evm.TU.s_36.52,938,734,729,594,935,1081,549,393,715,858,647,603,552,659,792,566,867,704,974,609,931,670,925,682
evm.TU.s_36.53,435,320,449,300,546,516,320,273,391,498,361,307,279,251,397,256,423,392,519,382,507,375,535,485
evm.TU.s_36.75,338,33,131,53,2001,1999,111,0,8,0,0,2,6,0,0,2,2,0,0,0,0,0,5,0
evm.TU.s_36.76,367,283,439,480,122,161,392,264,285,384,320,190,101,112,9,0,3,3,268,643,600,472,287,369
evm.TU.s_36.86,19,16,9,43,8,11,19,8,0,0,14,0,17,24,37,43,25,15,62,171,93,67,0,0
evm.TU.s_36.96,130,53,133,29,142,28,41,0,23,5,31,9,61,19,14,0,8,15,41,22,125,39,106,27
evm.TU.s_36.90,137,113,72,144,102,68,33,83,539,587,0,11,0,56,60,100,142,83,168,306,106,156,189,182
evm.TU.s_36.84,3055,3075,2605,2890,3136,4560,1729,1532,3331,3640,2464,2963,1828,2353,2639,1668,2578,2733,2915,2661,2591,2851,2050,1652
evm.TU.s_36.100,264,109,358,99,291,85,70,34,67,22,10,6,153,85,78,55,39,48,101,30,363,128,202,107
evm.TU.s_36.85,1305,867,1377,1193,864,1039,1423,771,759,954,899,478,734,727,1394,1436,1829,1694,1210,1565,1356,1093,1011,1265
evm.TU.s_36.101,233,36,163,110,27,6,11,2,13,5,5,0,6,16,9,3,0,0,2,0,36,16,3,0
evm.TU.s_36.103,29,4,11,17,31,0,0,0,7,7,0,0,4,7,27,22,8,8,0,7,0,0,13,0
evm.TU.s_36.107,0,0,0,0,44,34,26,23,33,28,15,17,0,0,0,0,0,0,27,36,0,0,63,33
evm.TU.s_36.124,2,5,0,0,0,0,4,3,0,0,6,5,13,10,6,10,12,0,3,3,3,5,0,0
evm.TU.s_36.139,8,4,236,96,6,4,65,36,0,0,166,184,20,3,57,22,10,22,227,72,231,87,102,22
