Sample,Treatment,Population,Ecotype,Location,Pop_treat,Individual
BD03_C_17,C,BD,Coast,Eng,BD_C,1
BD03_S_18,S,BD,Coast,Eng,BD_S,1
BD05_C_9,C,BD,Coast,Eng,BD_C,2
BD05_S_10,S,BD,Coast,Eng,BD_S,2
BD07_C_19,C,BD,Coast,Eng,BD_C,3
BD07_S_20,S,BD,Coast,Eng,BD_S,3
GR-RNA-10_C_13,C,GR,Mine,Wal,GR_C,1
GR-RNA-10_S_14,S,GR,Mine,Wal,GR_S,1
GR-RNA-12_C_23,C,GR,Mine,Wal,GR_C,2
GR-RNA-12_S_24,S,GR,Mine,Wal,GR_S,2
GR-RNA-6_C_5,C,GR,Mine,Wal,GR_C,3
GR-RNA-6_S_6,S,GR,Mine,Wal,GR_S,3
PP-RNA-1_C_1,C,PP,Mine,Eng,PP_C,1
PP-RNA-1_S_2,S,PP,Mine,Eng,PP_S,1
PP12_C_21,C,PP,Mine,Eng,PP_C,2
PP12_S_22,S,PP,Mine,Eng,PP_S,2
PP1_C_3,C,PP,Mine,Eng,PP_C,3
PP1_S_4,S,PP,Mine,Eng,PP_S,3
SA02_C_7,C,SA,Coast,Wal,SA_C,1
SA02_S_8,S,SA,Coast,Wal,SA_S,1
SA04_C_15,C,SA,Coast,Wal,SA_C,2
SA04_S_16,S,SA,Coast,Wal,SA_S,2
SA07_C_11,C,SA,Coast,Wal,SA_C,3
SA07_S_12,S,SA,Coast,Wal,SA_S,3
