Sample,Treatment,Population,Ecotype,Location,Pop_treat,Individual
BD11Z,Z,BD,coast,england,BD_Z,2
BD12C,C,BD,coast,england,BD_C,3
BD1Z,Z,BD,coast,england,BD_Z,1
GR10C,C,GR,mine,wales,GR_C,3
GR10Z,Z,GR,mine,wales,GR_Z,3
GR2C,C,GR,mine,wales,GR_C,1
GR8C,C,GR,mine,wales,GR_C,2
GR8Z,Z,GR,mine,wales,GR_Z,2
PP1C,C,PP,mine,england,PP_C,1
BD1C,C,BD,coast,england,BD_C,1
PP1Z,Z,PP,mine,england,PP_Z,1
PP4C,C,PP,mine,england,PP_C,2
PP4Z,Z,PP,mine,england,PP_Z,2
PP8C,C,PP,mine,england,PP_C,3
SA6Z,Z,SA,coast,wales,SA_Z,1
SA7C,C,SA,coast,wales,SA_C,2
SA7Z,Z,SA,coast,wales,SA_Z,2
SA8C,C,SA,coast,wales,SA_C,3
SA8Z,Z,SA,coast,wales,SA_Z,3
BD11C,C,BD,coast,england,BD_C,2
BD12Z,Z,BD,coast,england,BD_Z,3
GR2Z,Z,GR,mine,wales,GR_Z,2
PP8Z,Z,PP,mine,england,PP_Z,3
SA6C,C,SA,coast,wales,SA_C,1
